doc_id,source_pdf_path,source_filename,route,year,extract_status,structured_status,embedding_status,metrics_status,extract_method,page_count,error_message,last_stage_run,artifact_version,updated_at
jae_90944b221a70,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2026.pdf,2026.pdf,Route_A_Modern,2026,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T13:01:33.602466+00:00
jae_3f941230dae5,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2005_A-Comparison-Of-National-Leaders-Strategic-Thinking-To-The-Strategic-Intentions-Of-The-Agricultural-Education-Profession.pdf,2005_A-Comparison-Of-National-Leaders-Strategic-Thinking-To-The-Strategic-Intentions-Of-The-Agricultural-Education-Profession.pdf,Route_A_Modern,2005,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T13:01:33.622832+00:00
jae_8af86a47d39e,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2005_Critical-Thinking-Skills-Of-Selected-Youth-Leaders-The-Efficacy-Of-Critical-Thinking-Dispositions-Leadership-And-Academic-Performance.pdf,2005_Critical-Thinking-Skills-Of-Selected-Youth-Leaders-The-Efficacy-Of-Critical-Thinking-Dispositions-Leadership-And-Academic-Performance.pdf,Route_A_Modern,2005,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T13:01:33.643403+00:00
jae_15b5f43c9169,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2005_Economic-Impact-Of-Supervised-Agricultural-Experience-In-Iowa-A-Trend-Study.pdf,2005_Economic-Impact-Of-Supervised-Agricultural-Experience-In-Iowa-A-Trend-Study.pdf,Route_A_Modern,2005,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T13:01:33.663220+00:00
jae_556043944b43,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2005_Extension-Leaders-Self-Evaluation-Of-Leadership-Skill-Areas.pdf,2005_Extension-Leaders-Self-Evaluation-Of-Leadership-Skill-Areas.pdf,Route_A_Modern,2005,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T13:01:33.683128+00:00
jae_5f018fc12e74,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2005_Learning-For-Life.pdf,2005_Learning-For-Life.pdf,Route_A_Modern,2005,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T13:01:33.706283+00:00
jae_922ade160062,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2005_Mentoring-First-Year-Agricultural-Educators-Examining-A-State-Mandated-Induction-Program.pdf,2005_Mentoring-First-Year-Agricultural-Educators-Examining-A-State-Mandated-Induction-Program.pdf,Route_A_Modern,2005,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T13:01:33.727479+00:00
jae_47b7cf72b4e4,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2005_National-FFA-Officer-Candidate-Preparation-Developing-Future-Leaders-For-Society.pdf,2005_National-FFA-Officer-Candidate-Preparation-Developing-Future-Leaders-For-Society.pdf,Route_A_Modern,2005,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T13:01:33.748572+00:00
jae_c89a326e4b14,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2005_Unethical-Practices-Observed-At-Youth-Livestock-Exhibitions-By-Ohio-Secondary-Agricultural-Educators.pdf,2005_Unethical-Practices-Observed-At-Youth-Livestock-Exhibitions-By-Ohio-Secondary-Agricultural-Educators.pdf,Route_A_Modern,2005,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T13:01:33.771026+00:00
jae_8f9d05936623,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2000/10.5032_jae.2000.02036.pdf,10.5032_jae.2000.02036.pdf,Route_A_Modern,2000,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T13:01:33.791354+00:00
jae_02900bb016da,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2001/10.5032_jae.2001.01061.pdf,10.5032_jae.2001.01061.pdf,Route_A_Modern,2001,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T13:01:33.812801+00:00
jae_24071d17a253,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2003/10.5032_jae.2003.03047.pdf,10.5032_jae.2003.03047.pdf,Route_A_Modern,2003,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T13:01:33.833284+00:00
jae_781542dec96f,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2007/10.5032_jae.2007.03037.pdf,10.5032_jae.2007.03037.pdf,Route_A_Modern,2007,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T13:01:33.854665+00:00
jae_65789885e29a,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2012/10.5032_jae.2012.04187.pdf,10.5032_jae.2012.04187.pdf,Route_A_Modern,2012,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T13:01:33.876105+00:00
jae_3b0ca7843414,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2013/10.5032_jae.2013.04222.pdf,10.5032_jae.2013.04222.pdf,Route_A_Modern,2013,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T13:01:33.896116+00:00
jae_fabefebd36cc,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2022/10.5032_jae.2022.02131.pdf,10.5032_jae.2022.02131.pdf,Route_A_Modern,2022,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T13:01:33.916289+00:00
jae_2e311d3b2570,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2024/10.5032_jae.v65i4.2828.pdf,10.5032_jae.v65i4.2828.pdf,Route_A_Modern,2024,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T13:01:33.937058+00:00
jae_9ab1a81c3203,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2006_A-CASE-STUDY-OF-WOMEN-S-EXPERIENCES-IN-A-PRESERVICE-TEACHER-PREPARATION-PROGRAM.pdf,2006_A-CASE-STUDY-OF-WOMEN-S-EXPERIENCES-IN-A-PRESERVICE-TEACHER-PREPARATION-PROGRAM.pdf,Route_A_Modern,2006,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T13:01:33.958165+00:00
jae_bff3748bf635,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2006_A-COMPARISON-OF-STUDENT-TEACHERS-PERCEPTIONS-OF-IMPORTANT-ELEMENTS-OF-THE-STUDENT-TEACHING-EXPERIENCE-BEFORE-AND-AFTER-A-12-WEEK-FIELD-EXPERIENCE.pdf,2006_A-COMPARISON-OF-STUDENT-TEACHERS-PERCEPTIONS-OF-IMPORTANT-ELEMENTS-OF-THE-STUDENT-TEACHING-EXPERIENCE-BEFORE-AND-AFTER-A-12-WEEK-FIELD-EXPERIENCE.pdf,Route_A_Modern,2006,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T13:01:33.979997+00:00
jae_11f819a80851,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2006_A-DELPHI-STUDY-OF-AGRICULTURAL-PRACTITIONERS-OPINIONS-NECESSARY-EXPERIENCES-FOR-INCLUSION-IN-AN-UNDERGRADUATE-SUSTAINABLE-AGRICULTURAL-MAJOR.pdf,2006_A-DELPHI-STUDY-OF-AGRICULTURAL-PRACTITIONERS-OPINIONS-NECESSARY-EXPERIENCES-FOR-INCLUSION-IN-AN-UNDERGRADUATE-SUSTAINABLE-AGRICULTURAL-MAJOR.pdf,Route_A_Modern,2006,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T13:01:34.001639+00:00
jae_4fe04a332cd7,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2006_A-DELPHI-STUDY-OF-TEACHERS-AND-PROFESSIONALS-PERCEPTIONS-REGARDING-THE-IMPACT-OF-THE-NO-CHILD-LEFT-BEHIND-LEGISLATION-ON-SECONDARY-AGRICULTURAL-EDUCATION-PROGRAMS.pdf,2006_A-DELPHI-STUDY-OF-TEACHERS-AND-PROFESSIONALS-PERCEPTIONS-REGARDING-THE-IMPACT-OF-THE-NO-CHILD-LEFT-BEHIND-LEGISLATION-ON-SECONDARY-AGRICULTURAL-EDUCATION-PROGRAMS.pdf,Route_A_Modern,2006,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T13:01:34.025283+00:00
jae_3b268eff46a8,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2006_A-HISTORICAL-ANALYSIS-OF-H-M-HAMLIN-AND-THE-COMMUNITY-SCHOOL-CONCEPT.pdf,2006_A-HISTORICAL-ANALYSIS-OF-H-M-HAMLIN-AND-THE-COMMUNITY-SCHOOL-CONCEPT.pdf,Route_A_Modern,2006,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T13:01:34.046685+00:00
jae_900d6e0ca934,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2006_A-LONGITUDINAL-EXAMINATION-OF-TEACHING-EFFICACY-OF-AGRICULTURAL-SCIENCE-STUDENT-TEACHERS.pdf,2006_A-LONGITUDINAL-EXAMINATION-OF-TEACHING-EFFICACY-OF-AGRICULTURAL-SCIENCE-STUDENT-TEACHERS.pdf,Route_A_Modern,2006,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T13:01:34.067920+00:00
jae_5fab8b412d8d,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2006_A-PHILOSOPHICAL-EXAMINATION-OF-EXPERIENTIAL-LEARNING-THEORY-FOR-AGRICULTURAL-EDUCATORS.pdf,2006_A-PHILOSOPHICAL-EXAMINATION-OF-EXPERIENTIAL-LEARNING-THEORY-FOR-AGRICULTURAL-EDUCATORS.pdf,Route_A_Modern,2006,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T13:01:34.088234+00:00
jae_5a8045331d88,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2006_A-PHILOSOPHICAL-FRAMEWORK-FOR-AGRICULTURAL-EDUCATION-RESEARCH.pdf,2006_A-PHILOSOPHICAL-FRAMEWORK-FOR-AGRICULTURAL-EDUCATION-RESEARCH.pdf,Route_A_Modern,2006,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T13:01:34.108161+00:00
jae_3ce1f6bcd29f,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2006_A-SYNTHESIS-OF-LEADERSHIP-DEVELOPMENT-RESEARCH-IN-AGRICULTURAL-EDUCATION-1988-2003.pdf,2006_A-SYNTHESIS-OF-LEADERSHIP-DEVELOPMENT-RESEARCH-IN-AGRICULTURAL-EDUCATION-1988-2003.pdf,Route_A_Modern,2006,pending,failed,pending,pending,,,"Filename '2006_A-SYNTHESIS-OF-LEADERSHIP-DEVELOPMENT-RESEARCH-IN-AGRICULTURAL-EDUCATION-1988-2003.pdf' contains multiple candidate years: [2006, 1988, 2003]",structured_status,1.0,2026-03-31T12:08:47.724145+00:00
